tweets Content,Profile_Name,User_Name,Biographie,Following,Followers
Life is a question and how we live it is our answer. Gary Keller,zineb aassila,@aassila_zineb,élève Ingénieur en génie informatique a Ecole Nationale des Sciences Appliquées d'Al Hoceima .,18,0
"To be happy, we must not be too concerned with others.
Albert Camus",,,,,
"Happiness is not something ready-made. It comes from your own actions.
Dalai Lama",,,,,
"The only joy in the world is to begin.
 Cesare Pavese",,,,,
"What you do not want done to yourself, do not do to others
Confucius",,,,,
"There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will
Epictetus",,,,,
goood day,,,,,
"When nothing goes right, go left.",,,,,
it's need only patience,,,,,
good night,,,,,
good day,,,,,
good place,,,,,
tizintast,,,,,
tweets Content,Profile_Name,User_Name,Biographie,Following,Followers
Life is a question and how we live it is our answer. Gary Keller,zineb aassila,@aassila_zineb,élève Ingénieur en génie informatique a Ecole Nationale des Sciences Appliquées d'Al Hoceima .,18,0
"To be happy, we must not be too concerned with others.
Albert Camus",,,,,
"Happiness is not something ready-made. It comes from your own actions.
Dalai Lama",,,,,
"The only joy in the world is to begin.
 Cesare Pavese",,,,,
"What you do not want done to yourself, do not do to others
Confucius",,,,,
"There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will
Epictetus",,,,,
goood day,,,,,
"When nothing goes right, go left.",,,,,
it's need only patience,,,,,
good night,,,,,
good day,,,,,
good place,,,,,
tizintast,,,,,
tweets Content,Profile_Name,User_Name,Biographie,Following,Followers
Life is a question and how we live it is our answer. Gary Keller,zineb aassila,@aassila_zineb,élève Ingénieur en génie informatique a Ecole Nationale des Sciences Appliquées d'Al Hoceima .,18,0
"To be happy, we must not be too concerned with others.
Albert Camus",,,,,
"Happiness is not something ready-made. It comes from your own actions.
Dalai Lama",,,,,
"The only joy in the world is to begin.
 Cesare Pavese",,,,,
"What you do not want done to yourself, do not do to others
Confucius",,,,,
"There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will
Epictetus",,,,,
goood day,,,,,
"When nothing goes right, go left.",,,,,
it's need only patience,,,,,
good night,,,,,
good day,,,,,
good place,,,,,
tizintast,,,,,
